"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
66,CN,A,CN 1736345 A,195-618-564-240-752,2006-02-22,2006,CN 200410051188 A,2004-08-19,2004-08-19,Biological ceramic stopper and method for manufacturing the same,SHENZHEN LIFETECH CO LTD,ZI ZHENJUN ZANG,,https://lens.org/195-618-564-240-752,ACTIVE
67,WO,A2,WO 2002/103009 A2,084-829-453-079-199,2002-12-27,2002,EP 0205596 W,2002-05-22,2001-06-19,OPTIMISATION OF SYNTHETIC CATALYSTS BY MEANS OF DIRECTED EVOLUTION,STUDIENGESELLSCHAFT KOHLE MBH;;REETZ MANFRED,REETZ MANFRED,,https://lens.org/084-829-453-079-199,PENDING
68,WO,A3,WO 2013/128409 A3,171-339-410-630-931,2014-01-16,2014,IB 2013051611 W,2013-02-28,2012-03-01,DE NOVO INTEGRON RECOMBINATION SITES AND USES THEREOF,PASTEUR INSTITUT;;CENTRE NAT RECH SCIENT,MAZEL DIDIER;;BIKARD DAVID;;GRIEB MAJ SVEA,,https://lens.org/171-339-410-630-931,PENDING
69,WO,A1,WO 2022/104233 A1,062-003-725-900-237,2022-05-19,2022,US 2021/0059427 W,2021-11-15,2020-11-13,MICROBIAL PRODUCTION OF TITIN FIBERS WITH EXCEPTIONAL MECHANICAL PERFORMANCE,UNIV WASHINGTON,ZHANG FUZHONG;;BOWEN CHRISTOPHER H;;SARGENT CAMERON,,https://lens.org/062-003-725-900-237,PENDING
70,US,A1,US 2020/0255845 A1,127-011-109-066-628,2020-08-13,2020,US 201816622037 A,2018-06-12,2017-06-12,BINARY VECTORS AND USES OF SAME,GARCIA ALVAREZ JUAN ANTONIO,PASIN FABIO;;GARCÍA ÁLVAREZ JUAN ANTONIO;;BEDOYA ROJAS LEONOR CECILIA;;SIMÓN MATEO MARÍA DEL CARMEN;;ORZÁEZ CALATAYUD DIEGO VICENTE;;BERNABÉ ORTS JUAN MIGUEL,,https://lens.org/127-011-109-066-628,ACTIVE
71,CN,A,CN 110051698 A,156-018-648-623-79X,2019-07-26,2019,CN 201910205083 A,2019-03-18,2019-03-18,Method for genetic modification of intestinal protobacteria based on microencapsulation treatment,UNIV TIANJIN,WANG HANJIE;;CUI MEIHUI;;CHANG JIN;;LI SHUBIN;;SUN TAO;;PAN HUIZHUO,,https://lens.org/156-018-648-623-79X,DISCONTINUED
72,KR,B1,KR 101477235 B1,027-675-352-624-964,2015-01-02,2015,KR 20120109122 A,2012-09-28,2012-09-28,Construction of a Multi-monocistronic Vector Applicable for Synthetic Biology and Use Thereof,,,,https://lens.org/027-675-352-624-964,ACTIVE
73,WO,A1,WO 2012/032182 A1,025-705-208-566-431,2012-03-15,2012,EP 2011065698 W,2011-09-10,2010-09-10,ORAL VETERINARY PREPARATIONS,IDT BIOLOG GMBH;;VOS ADRIAN;;SCHUSTER PETER;;BOROWSKI KLAUS,VOS ADRIAN;;SCHUSTER PETER;;BOROWSKI KLAUS,,https://lens.org/025-705-208-566-431,PENDING
74,CN,A,CN 113284562 A,035-043-698-018-325,2021-08-20,2021,CN 202110631788 A,2021-06-07,2021-06-07,Enzyme improvement method,AGRICULTURAL GENOMICS INST AT SHENZHEN CHINESE ACADEMY OF AGRICULTURAL SCIENCES,HUANG SANWEN;;SHANG YI;;ZHANG XIAOPENG;;YAO YINYING;;LUO WEI,,https://lens.org/035-043-698-018-325,ACTIVE
75,US,A1,US 2023/0051466 A1,169-452-655-788-991,2023-02-16,2023,US 202017783786 A,2020-12-11,2019-12-12,crRNA:tracrRNA-BASED BINARY LOGIC GATE DESIGN AS A TOOL FOR SYNTHETIC BIOLOGY,UNIV NORTH CAROLINA STATE,STEPANOVA ANNA;;ALONSO JOSE;;ZHAO CHENGSONG,NORTH CAROLINA STATE UNIVERSITY (2022-06-10),https://lens.org/169-452-655-788-991,PENDING
76,US,A1,US 2002/0148009 A1,055-158-484-934-681,2002-10-10,2002,US 77336501 A,2001-01-31,2001-01-31,Method for enhancing cellobiase activity of the novel strain termitomyces clypeatus using 2-deoxy -D-glucose as glycosylation inhibitor,KHOWALA SUMAN;;MUKHERJEE SUMANA,KHOWALA SUMAN;;MUKHERJEE SUMANA,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH PL (2001-06-21),https://lens.org/055-158-484-934-681,EXPIRED
77,CN,A,CN 111482212 A,074-941-748-985-604,2020-08-04,2020,CN 202010280033 A,2020-04-10,2020-04-10,Automatic casting platform system integration technology applied to synthetic biology,SHENZHEN INST OF ADV TECH CAS,HE KAI;;CHEN SHU;;ZHAO WENLIANG;;FANG HAITAO,,https://lens.org/074-941-748-985-604,DISCONTINUED
78,CN,A,CN 106011184 A,171-249-450-839-896,2016-10-12,2016,CN 201610464256 A,2016-06-21,2016-06-21,Noncellular synthetic biology based preparation method of 2-phenylethanol and application,UNIV SOUTH CHINA AGRICULT,LIN JUNFANG;;GUO LIQIONG;;LIU XIAORONG;;YUN FAN,,https://lens.org/171-249-450-839-896,ACTIVE
79,US,A1,US 2019/0309314 A1,184-437-193-361-042,2019-10-10,2019,US 201916374827 A,2019-04-04,2018-04-06,YEAST SYNTHETIC BIOLOGY PLATFORM FOR IDENTIFYING SHIKIMATE PATHWAY ENZYME INHIBITORS,UNIV NEW YORK;;NEOCHROMOSOME INC;;UNIV JOHNS HOPKINS,BOEKE JEF;;MITCHELL LESLIE;;DE ANGELO JOE;;BADER JOEL S,NEOCHROMOSOME INC (2019-07-17);;NEW YORK UNIVERSITY (2019-04-18);;THE JOHNS HOPKINS UNIVERSITY (2019-04-23),https://lens.org/184-437-193-361-042,ACTIVE
80,CN,A,CN 108624641 A,100-867-898-803-309,2018-10-09,2018,CN 201810313735 A,2018-04-10,2018-04-10,Method for preparing ethionamide nicotinamide adenine dinucleotide through synthetic biology,UNIV FOSHAN,WANG XUDE;;ZHOU YAFENG;;BI LIJUN;;ZHOU YING;;ZHANG XIAOLI,,https://lens.org/100-867-898-803-309,DISCONTINUED
81,US,B2,US 8969516 B2,165-264-847-348-727,2015-03-03,2015,US 22385106 A,2006-05-04,2006-02-09,Method of hydrolysis of peptide bond,BAL WOJCIECH;;KOPERA EDYTA;;KREZEL ARTUR;;WYSLOUCH-CIESZYNSKA ALEKSANDRA;;INST BIOCHEMII I BIOFIZYKI PAN,BAL WOJCIECH;;KOPERA EDYTA;;KREZEL ARTUR;;WYSLOUCH-CIESZYNSKA ALEKSANDRA,INSTYTUT BIOCHEMII I BIOFIZYKI PAN (2009-04-29),https://lens.org/165-264-847-348-727,INACTIVE
82,US,A1,US 2020/0010816 A1,053-110-329-920-903,2020-01-09,2020,US 201916525349 A,2019-07-29,2015-12-01,GENETICALLY ENGINEERED VIBRIO SP. AND USES THEREOF,SGI DNA INC,WEINSTOCK MATTHEW T;;WILSON CHRISTOPHER M;;HESEK ERIC D,SYNTHETIC GENOMICS INC (2016-12-14);;TELESIS BIO INC (2019-05-28),https://lens.org/053-110-329-920-903,ACTIVE
83,US,A1,US 2010/0317039 A1,109-560-140-155-441,2010-12-16,2010,US 79120010 A,2010-06-01,2009-05-29,MOLDING WITH EMBEDDED COUPLING PARTICLES FOR BIOMOLECULES,SALK NATALIE;;GRUNWALD INGO,SALK NATALIE;;GRUNWALD INGO,FRAUNHOFER-GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG E.V (2010-07-14),https://lens.org/109-560-140-155-441,DISCONTINUED
84,CN,A,CN 115135769 A,194-746-889-376-957,2022-09-30,2022,CN 202180014109 A,2021-02-12,2020-02-14,KDO-free production hosts for oligosaccharide synthesis,INBIOS INC,BEAUPREZ JORDI;;COUSSEMENT PIETER;;PETERS GUIDO,,https://lens.org/194-746-889-376-957,PENDING
85,RU,C2,RU 2192431 C2,063-259-891-025-322,2002-11-10,2002,RU 97112202 A,1995-12-22,1994-12-23,"SYNTHETIC MUTANT GENE RB (VARIANTS), SYNTHETIC MUTANT GENE P53, PLASMID (VARIANTS), MUTANT PROTEIN (VARIANTS), METHOD OF INHIBITION OF CELLULAR PROLIFERATION (VARIANTS), METHOD OF INDUCTION OF APOPTOSIS",RES DEV FOUNDATION,FUNG JUEN KAJ,,https://lens.org/063-259-891-025-322,EXPIRED
86,CN,A,CN 109468323 A,008-616-005-627-424,2019-03-15,2019,CN 201811394239 A,2018-11-21,2018-11-21,"Synthetic intron, mammalian cell recombinant expression vector, mammalian host cell, expressing method and application thereof",UNIV XINXIANG MEDICAL;;HENAN PUNUOYI BIOLOGICAL PRODUCT RES INSTITUTE CO LTD,WANG XIAOYIN;;WANG TIANYUN;;XU DANHUA;;NIU JINGYUAN;;WANG FANG;;NI TIANJUN;;GUO XIAO;;QIN CHUAN;;YANG XIANJUN,,https://lens.org/008-616-005-627-424,ACTIVE
87,CN,A,CN 111748540 A,118-307-717-352-966,2020-10-09,2020,CN 202010574178 A,2020-06-22,2020-06-22,Kit for efficient assembly of synthetic biological components and using method thereof,UNIV SHANGHAI JIAOTONG,MIAO ZHIQI;;XU MEIHUI;;ZHANG YAOJIE;;TANG KEXUAN,,https://lens.org/118-307-717-352-966,PENDING
88,WO,A1,WO 2020/112822 A1,015-208-985-464-982,2020-06-04,2020,US 2019/0063319 W,2019-11-26,2018-11-28,NANOCARRIER SYSTEMS FOR IMAGING AND DELIVERY OF ACTIVE AGENTS,UNIV KANSAS STATE,ARYAL SANTOSH;;PITCHAIMANI ARUNKUMAR;;NGUYEN TUYEN DT,,https://lens.org/015-208-985-464-982,PENDING
89,CN,A,CN 103966220 A,132-172-624-285-831,2014-08-06,2014,CN 201410228207 A,2014-05-27,2014-05-27,Synthetic root-specific promoter and application thereof,INST PLANT PROTECTION IPP CAAS,ZHANG JIE;;GENG LILI;;CHI JING;;SHU CHANGLONG;;SONG FUPING;;PENG QI;;LIANG YINGPING,,https://lens.org/132-172-624-285-831,ACTIVE
90,WO,A1,WO 1994/018954 A1,089-243-669-223-894,1994-09-01,1994,US 9401985 W,1994-02-22,1993-02-22,METHODS FOR IN VIVO DELIVERY OF BIOLOGICS AND COMPOSITIONS USEFUL THEREFOR,CLOVER CONS LTD;;GRINSTAFF MARK W;;SOON SHIONG PATRICK;;WONG MICHAEL;;SANDFORD PAUL A;;SUSLICK KENNETH S;;DESAI NEIL P,GRINSTAFF MARK W;;SOON-SHIONG PATRICK;;WONG MICHAEL;;SANDFORD PAUL A;;SUSLICK KENNETH S;;DESAI NEIL P,,https://lens.org/089-243-669-223-894,PATENTED
91,US,A1,US 2010/0047875 A1,079-851-047-286-061,2010-02-25,2010,US 38466109 A,2009-04-07,2006-03-01,Making nucleic acid sequences in parallel and use,GAO XIAIOIAN;;ZHOU XIAOCHUAN;;ZHENG XIAOLIN;;SHENG NILING;;ZHU QI,GAO XIAIOIAN;;ZHOU XIAOCHUAN;;ZHENG XIAOLIN;;SHENG NILING;;ZHU QI,LC SCIENCES (2012-12-12),https://lens.org/079-851-047-286-061,INACTIVE
92,CN,B,CN 101133166 B,147-762-429-759-40X,2011-02-02,2011,CN 200680006662 A,2006-03-01,2005-03-10,Making nucleic acid sequences in parallel and use,XIALOIAN GAO,XIALOIAN GAO;;XIAOLIN ZHANG;;QI ZHU;;XIAOCHUAN ZHOU;;NUING SHENG,,https://lens.org/147-762-429-759-40X,ACTIVE
93,US,B2,US 8232061 B2,041-454-177-123-289,2012-07-31,2012,US 52541808 A,2008-02-01,2007-02-01,Method and device for examining the attachment or detachment of living or dead cells or cell-like particles or other surface accumulations on surfaces by means of plasmon resonance and use of said method and said device,HOFMANN ANDREAS;;DANZ NORBERT;;HOFMANN SILKE;;KEUSGEN MICHAEL;;MAGDOLEN ULLA,HOFMANN ANDREAS;;DANZ NORBERT;;HOFMANN SILKE;;KEUSGEN MICHAEL;;MAGDOLEN ULLA,HOFMANN ANDREAS (2009-07-22),https://lens.org/041-454-177-123-289,INACTIVE
94,CN,A,CN 102816206 A,030-466-770-377-369,2012-12-12,2012,CN 201210308055 A,2012-08-27,2012-08-27,Synthetic peptide and application thereof,CHONGQING ACADEMY ANIMAL SCI,SHEN KEFEI;;WANG XIAOYOU;;YANG RUI;;XU DENGFENG;;GU SHANLIN;;FU LIZHI;;LI DAJUN;;GE LIANGPENG,,https://lens.org/030-466-770-377-369,INACTIVE
95,US,A1,US 2020/0071368 A1,006-840-565-265-744,2020-03-05,2020,US 201916554171 A,2019-08-28,2018-08-31,SPLIT INTEIN MEDIATED POLYMERIZATION AND PRODUCTION OF MUSSEL FOOT ADHESIVE PROTEIN MATERIALS,ZHANG FUZHONG;;KIM EUGENE;;UNIV WASHINGTON,ZHANG FUZHONG;;KIM EUGENE,WASHINGTON UNIVERSITY (2019-08-30),https://lens.org/006-840-565-265-744,ACTIVE
96,CN,A,CN 109134663 A,143-858-329-557-078,2019-01-04,2019,CN 201810820996 A,2018-07-24,2018-07-24,Recombined photosynthetic protein molecule with wide absorption spectrum and construction method of recombined photosynthetic protein molecule,UNIV CHINA PETROLEUM EAST CHINA,GE BAOSHENG;;YU QIAN;;HOU QIQI,,https://lens.org/143-858-329-557-078,ACTIVE
97,US,A1,US 2018/0334731 A1,121-494-177-760-137,2018-11-22,2018,US 201815963831 A,2018-04-26,2013-12-06,PAPER-BASED SYNTHETIC GENE NETWORKS,PRESIDENT AND FELLOWS O HARVARD COLLEGE;;UNIV BOSTON,PARDEE KEITH;;COLLINS JAMES J,HOWARD HUGHES MEDICAL INSTITUTE (2014-11-10);;TRUSTEES OF BOSTON UNIVERSITY (2016-07-08);;PRESIDENT AND FELLOWS OF HARVARD COLLEGE (2015-08-24),https://lens.org/121-494-177-760-137,DISCONTINUED
98,CN,A,CN 105024586 A,064-898-855-245-376,2015-11-04,2015,CN 201510383369 A,2015-07-02,2015-07-02,Vibration-type wind power generation system,UNIV NANJING AERONAUTICS,WANG LONG;;WANG TONGGUANG;;LI HUI;;WU YONGJIAN;;WU JIANGHAI,,https://lens.org/064-898-855-245-376,ACTIVE
99,WO,A1,WO 2009/076737 A1,110-551-255-102-797,2009-06-25,2009,BR 2008000385 W,2008-12-12,2007-12-14,PRODUCTION OF RECOMBINANT BOS TAURUS GROWTH HORMONE WITH PICHIA PASTORIS,OURO FINO PARTICIPACOES E EMPR;;DNATECH PROJETOS TECNOLOGICOS;;UNIV BRASILIA FUDACAO;;NEIVA SANTOS SUZANA;;SOUZA DA FONSECA RAMOS ANGELA;;DE MELO TEIXEIRA MARCUS;;PEPE DE MORAES LIDIA MARIA;;CORAUCCI NETO DOLIVAR;;TITZE DE ALMEIDA RICARDO;;ARARIPE GONCALVES TORRES FERNA;;SOARES FELIPE MARIA SUELI,NEIVA SANTOS SUZANA;;SOUZA DA FONSECA RAMOS ANGELA;;DE MELO TEIXEIRA MARCUS;;PEPE DE MORAES LIDIA MARIA;;CORAUCCI NETO DOLIVAR;;TITZE DE ALMEIDA RICARDO;;ARARIPE GONCALVES TORRES FERNANDO;;SOARES FELIPE MARIA SUELI,,https://lens.org/110-551-255-102-797,PENDING
100,WO,A1,WO 2013/134984 A1,066-060-812-900-004,2013-09-19,2013,CN 2012074181 W,2012-04-17,2012-03-15,"GENE SYNTHESIS PROCESS, GENE CHIP AND KIT",TIAN JINGDONG,TIAN JINGDONG,,https://lens.org/066-060-812-900-004,PENDING
101,CN,A,CN 102912522 A,151-744-790-783-502,2013-02-06,2013,CN 201210451486 A,2012-11-13,2012-11-13,Elastic fabric taking biology base PDT as raw material and production method of elastic fabric,QUANZHOU HAITIAN MATERIAL TECHNOLOGY CORP,WANG QIMING;;WANG CHAOSHENG;;WANG HUAPING;;LI JIANWU;;XU YIDONG;;CHEN LIQUN,,https://lens.org/151-744-790-783-502,DISCONTINUED
102,CN,A,CN 113493811 A,159-120-876-445-964,2021-10-12,2021,CN 202110976051 A,2021-08-24,2021-08-24,Method for preparing laminobiose by taking cellulose as substrate,UNIV SHANDONG,FANG XU;;DU ZHIQIANG;;LIU ZHENGYAO,,https://lens.org/159-120-876-445-964,PENDING
103,CN,A,CN 110872595 A,126-310-502-334-477,2020-03-10,2020,CN 201811007774 A,2018-08-31,2018-08-31,Acid-resistant expression cassette and application of expression cassette in fermentation production of organic acids,UNIV SOUTH CHINA TECH;;UNIV TSINGHUA;;COFCO NUTRITION & HEALTH RES INST CO LTD,LIN ZHANGLIN;;CHEN PING;;CHEN BO;;HAO XIAOMING;;TONG YI;;YANG XIAOFENG;;ZHANG YAN;;LI JIAHUI;;GAO XIANXING,,https://lens.org/126-310-502-334-477,PENDING
104,WO,A1,WO 2022/039847 A1,070-341-752-454-721,2022-02-24,2022,US 2021/0040497 W,2021-07-06,2020-08-21,MACHINE LEARNING-BASED VARIANT EFFECT ASSESSMENT AND USES THEREOF,INARI AGRICULTURE TECH INC,ALTMAN ROSS EVERETT;;HALL GILES;;JOYCE ADAM PATRICK;;KREMLING KARL ANTON GROTHE;;KOCK MICHAEL ANDREAS,,https://lens.org/070-341-752-454-721,PENDING
105,RU,C1,RU 2128225 C1,176-958-862-936-418,1999-03-27,1999,RU 94042389 A,1993-03-30,1992-03-30,SYNTHETIC INDUCIBLE EUCARYOTIC PROMOTER FOR GENE TRANSCRIPTION REGULATION (VARIANTS),KONNOT LAB LIMITED,DZHORDZH FILMAS;;MISHEL KLEJN,,https://lens.org/176-958-862-936-418,EXPIRED
106,CN,A,CN 101063140 A,153-792-462-557-847,2007-10-31,2007,CN 200710036861 A,2007-01-26,2007-01-26,Vancocin biological synthesis gene cluster,SHANGHAI INST BIOL SCIENCES,HUANG HE GE,,https://lens.org/153-792-462-557-847,ACTIVE
107,RU,C2,RU 2194510 C2,021-613-543-123-685,2002-12-20,2002,RU 97101087 A,1995-06-23,1994-06-23,APPLICATION OF STEROL COMPOUNDS IN OBTAINING A MEIOSIS-REGULATING MEDICINAL PREPARATION AND METHOD FOR MEIOSIS REGULATION,NOVO NORDISK AS,BJUSKOU ANNE GRETE;;ANDERSEN KLAUS IDING;;NORDKHOL M LARS;;TEGERSEN KHENNING;;VASSMANN OLE;;DIERS IVAN VERNER;;GUDDAL EHRLING,,https://lens.org/021-613-543-123-685,EXPIRED
108,US,A1,US 2021/0309986 A1,114-361-176-325-288,2021-10-07,2021,US 201917260828 A,2019-07-19,2018-07-19,METHODS FOR EXON SKIPPING AND GENE KNOCKOUT USING BASE EDITORS,UNIV ILLINOIS,PEREZ-PINERA PABLO;;GAPINSKE MICHAEL P;;WINTER JACKSON SCOTT,,https://lens.org/114-361-176-325-288,PENDING
109,RU,A,RU 94040386 A,156-440-169-683-078,1996-05-10,1996,RU 94040386 A,1993-02-03,1992-02-03,"SYNTHETIC PEPTIDE, SYNTHETIC LIPOPEPTIDE, IMMUNOGENIC CONJUGATE, VECTOR, DIAGNOSTIC REAGENT, METHOD OF INFECTION ASSAY, ANTIBODIES, METHOD OF OLIGOMER SYNTHESIS, SYNTHETIC VACCINE AGAINST HAEMOPHILUS INFLUENZAE, PROTECTED POLYSACCHARIDE",KONNOT LAB LTD,PELE CHONG;;ALI KANDIL;;CHARL Z SAJA;;MAJKL KH KLEJN,,https://lens.org/156-440-169-683-078,EXPIRED
110,CN,A,CN 102286512 A,018-268-728-911-140,2011-12-21,2011,CN 201110181328 A,2011-06-30,2011-06-30,Multi-fragment deoxyribose nucleic acid (DNA) series connection recombination assembly method based on site-specific recombination,UNIV FUDAN,XIAOMING DING;;LIN ZHANG;;GUOPING ZHAO,,https://lens.org/018-268-728-911-140,DISCONTINUED
111,CN,A,CN 108949600 A,194-540-178-556-624,2018-12-07,2018,CN 201810756704 A,2018-07-11,2018-07-11,"Gene deletion and application thereof, strain with gene deletion, and application of gene deletion in increasing yield of microbial secondary metabolites",UNIV TIANJIN,YUAN YINGJIN;;XIE ZEXIONG;;WANG JUAN;;LI BINGZHI,,https://lens.org/194-540-178-556-624,ACTIVE
112,RU,A,RU 94046017 A,045-766-983-944-629,1997-03-20,1997,RU 94046017 A,1993-05-07,1992-05-08,"NUCLEIC ACIDS, VECTOR, CELL OR TRANSGENIC ORGANISM, SYNTHETIC POLYPEPTIDES, METHOD OF SYNTHESIS OF SYNTHETIC POLYPEPTIDES, VACCINE COMPOSITION, USE OF NUCLEIC ACID, METHOD OF IMMUNE RESPONSE STIMULATION, OLIGOSACCHARIDE",BIOTECH & BIOLOG SCIEN RES,GRAHAM MARGARET;;SMITH TREVOR STANLEY;;MUNN EDWARD ALBERT;;KNOX DAVID PATRICK;;OLIVER JOANNA JANE;;NEWTON SUSAN ELIZABETH,,https://lens.org/045-766-983-944-629,EXPIRED
113,CN,A,CN 115386594 A,100-192-390-001-038,2022-11-25,2022,CN 202210575855 A,2022-05-24,2021-05-24,Synthetic biology self-assembly vaccine generation system and vaccine generation method,UNIV NANJING,ZHANG CHENYU;;ZHAN SHOUBIN;;CHEN XI;;ZHOU SHENGKAI,,https://lens.org/100-192-390-001-038,PENDING
114,US,A1,US 2021/0238671 A1,077-610-195-885-509,2021-08-05,2021,US 202117237962 A,2021-04-22,2009-04-30,NUCLEIC ACID CONSTRUCTS AND METHODS OF USE,PROGNOSYS BIOSCIENCES INC,CHEE MARK S,PROGNOSYS BIOSCIENCES INC (2020-04-22),https://lens.org/077-610-195-885-509,ACTIVE
115,CN,A,CN 108913612 A,179-287-151-900-093,2018-11-30,2018,CN 201810764817 A,2018-07-12,2018-07-12,Strain and application thereof in improving yield of microbial secondary metabolites,UNIV TIANJIN,YUAN YINGJIN;;JIA BIN;;WANG JUAN,,https://lens.org/179-287-151-900-093,DISCONTINUED
116,WO,A2,WO 2023/021335 A2,032-023-601-784-924,2023-02-23,2023,IB 2022000547 W,2022-08-19,2021-08-20,PROTEIN ARRAY-BASED IN VITRO TRANSGLUTAMINASE ASSAY PLATFORM FOR EPITOPE MAPPING AND IMMUNOGEN DESIGN,LIU CHEN,LIU CHEN,,https://lens.org/032-023-601-784-924,PENDING
117,WO,A1,WO 2018/222742 A1,133-830-847-132-697,2018-12-06,2018,US 2018/0035171 W,2018-05-30,2017-05-30,"COLD PROCESSABLE EMULSION CONCENTRATES PROVIDING DESIRABLE SENSORY PROPERTIES, END USE FORMULATIONS CONTAINING THE EMULSION CONCENTRATES AND RELATED METHODS",INOLEX INVESTMENT CORP,ZHUANG ZIJIE;;BURGO ROCCO;;CHEN MEI,,https://lens.org/133-830-847-132-697,PENDING
118,US,A1,US 2019/0275199 A1,042-135-395-872-868,2019-09-12,2019,US 201916296776 A,2019-03-08,2018-03-09,PRINTING OF BIOPOLYMERS FROM IONIC LIQUID,UNIV ALABAMA;;525 SOLUTIONS INC,ROGERS ROBIN D;;ZAVGORODNYA OLEKSANDRA;;SHAMSHINA JULIA L;;GURAU GABRIELA,525 SOLUTIONS INC (2018-03-21);;THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA (2018-03-20),https://lens.org/042-135-395-872-868,DISCONTINUED
119,CN,A,CN 111187726 A,075-060-818-421-318,2020-05-22,2020,CN 201910963020 A,2019-10-11,2019-10-11,Rice blast bactericide prepared by taking lysinibacillus boronitolerans as chassis cell,UNIV HAINAN,LIU ZHU;;YAN CHENGLIANG;;MA XIANG;;TANG YANQIONG;;LI HONG;;GAO YUXIAO;;LIN MIN,,https://lens.org/075-060-818-421-318,ACTIVE
120,CN,A,CN 102286097 A,057-025-854-303-013,2011-12-21,2011,CN 201110165331 A,2011-06-20,2011-06-20,"Synthetic pokeweed antiviral protein (PAP) antigen and antibody, and preparation method and application thereof",INST PLANT PROTECTION IPP CAAS,LI LI;;XIFENG WANG;;YU LI;;GUANGHE ZHOU;;YAN LIU;;BEILEI WU,,https://lens.org/057-025-854-303-013,INACTIVE
121,WO,A1,WO 2021/258205 A1,077-229-824-311-274,2021-12-30,2021,CA 2021050863 W,2021-06-23,2020-06-23,PRO-MICROBIAL SURFACE,LULULEMON ATHLETICA CANADA INC,WAN LYNN YUQIN;;GATHERCOLE ROBERT JOHN;;MCGEE TIMOTHY RYAN,,https://lens.org/077-229-824-311-274,PENDING
122,US,A1,US 2020/0332371 A1,011-139-399-870-898,2020-10-22,2020,US 201716305298 A,2017-06-06,2016-06-06,PROXIMITY-DEPENDENT SPLIT RNA POLYMERASES AS A VERSATILE BIOSENSOR PLATFORM,UNIV CHICAGO,DICKINSON BRYAN C;;PU JINYUE;;ZINKUS JULIA,THE UNIVERSITY OF CHICAGO (2016-10-06),https://lens.org/011-139-399-870-898,DISCONTINUED
123,WO,A1,WO 2009/048971 A1,062-242-382-627-109,2009-04-16,2009,US 2008/0079229 W,2008-10-08,2007-10-08,SYSTEM AND METHOD FOR PRODUCING SYNTHETIC MICROORGANISMS CAPABLE OF TRANSLATING PROTEINS CONTAINING NON-STANDARD AMINO ACIDS,SYNTHETIC GENOMICS INC;;KRISHNAKUMAR RADHA;;GLASS JOHN I;;MERRYMAN CHARLES E,KRISHNAKUMAR RADHA;;GLASS JOHN I;;MERRYMAN CHARLES E,,https://lens.org/062-242-382-627-109,PENDING
124,WO,A1,WO 2019/103981 A1,193-031-311-442-115,2019-05-31,2019,US 2018/0061882 W,2018-11-19,2017-11-22,METHODS AND SYSTEMS FOR ENGINEERING COLLAGEN,GELTOR INC,PERSIKOV ANTON V;;OUZOUNOV NIKOLAY;;LORESTANI ALEXANDER,,https://lens.org/193-031-311-442-115,PENDING
125,WO,A1,WO 2023/035469 A1,022-098-687-325-81X,2023-03-16,2023,CN 2021138252 W,2021-12-15,2021-09-13,"SARINGOSTEROL SYNTHETASE, AND PREPARATION METHOD THEREFOR AND USE THEREOF",UNIV HAINAN,LU YANDU;;ZHOU WENXU;;ZHANG XU;;GAN QINHUA,,https://lens.org/022-098-687-325-81X,PENDING
126,RU,C1,RU 2104284 C1,164-551-176-266-530,1998-02-10,1998,RU 94039528 A,1994-10-20,1994-10-20,"SYNTHETIC OLIGOYPEPTIDES SPECIFICALLY INTERACTING WITH ANTIBODIES RAISED TO HEPATITIS C VIRUS, METHODS OF DIAGNOSIS HCV-INFECTION (VARIANTS)",D I IVANOVSKOGO RAMN;;NI SKIJ I VIRUSOLOGII IM,FIRSOVA T V;;SEMILETOV JU A;;SHIBNEV V A,,https://lens.org/164-551-176-266-530,EXPIRED
127,CN,A,CN 101281184 A,077-806-321-950-899,2008-10-08,2008,CN 200810053140 A,2008-05-15,2008-05-15,Multi-purpose evaluating method of plant salt resistance characteristic,TIANJIN AGRICULTURAL COLLEGE,JINGHUI YANG;;YANJUN LIU;;WEIYU ZHANG,,https://lens.org/077-806-321-950-899,DISCONTINUED
128,US,A1,US 2012/0213848 A1,040-785-241-346-066,2012-08-23,2012,US 201113298251 A,2011-11-16,2010-11-16,Treatment of Infection Using Single Chain Antibody Gene Therapy,HANLEY BRIAN P,HANLEY BRIAN P,,https://lens.org/040-785-241-346-066,DISCONTINUED
129,WO,A1,WO 2022/238319 A1,106-011-776-613-072,2022-11-17,2022,EP 2022062467 W,2022-05-09,2021-05-12,IMPROVED PROTEIN PURIFICATION,CYTIVA BIOPROCESS R & D AB,LUNDBACK PETER;;OHMAN JOHAN,,https://lens.org/106-011-776-613-072,PENDING
130,CN,A,CN 109243528 A,172-664-930-163-703,2019-01-18,2019,CN 201810921093 A,2018-08-14,2018-08-14,Biological process control method based on knowledge map directed graph,ZHANG XUBEI,ZHANG SILIANG;;ZHANG XUBEI,,https://lens.org/172-664-930-163-703,ACTIVE
131,WO,A1,WO 2017/011550 A1,110-421-668-621-258,2017-01-19,2017,US 2016/0042084 W,2016-07-13,2015-07-13,METHODS OF MAKING RED BLOOD CELLS AND PLATELETS IN VITRO AND USES THEREOF,UNIV UTAH RES FOUND,DEANS TARA L,,https://lens.org/110-421-668-621-258,PENDING
